Attribute	Norfolk	Hertfordshire	Buckinghamshire	Oxfordshire	Isle of Wight	Hampshire	North Yorkshire	Leicestershire	Lincolnshire	West Sussex	Wiltshire	West Berkshire	East Riding of Yorkshire	Surrey	Suffolk	Cornwall	Somerset	Greater London Authority	Dorset	Kent	East Sussex	Warwickshire	Worcestershire	North East Lincolnshire	Nottinghamshire	Carmarthenshire	County Durham	Doncaster	North Lincolnshire	Bedford	Cumbria	Northamptonshire	Shropshire	York	Cheshire East	Wakefield	Gloucestershire	Essex	Staffordshire	Milton Keynes	the Vale of Glamorgan	Cambridgeshire
Thetford	0.045202225	-0.010184588	-0.017754401	-0.025356711	-0.026435906	-0.032282827	-0.025356711	-0.023071136	0.142481949	0.153116416	-0.017754401	-0.007190078	-0.017754401	-0.019208152	-0.033177763	-0.007190078	-0.007190078	-0.01444957	-0.01249356	-0.029475258	-0.01444957	-0.01444957	-0.01249356	-0.007190078	-0.01444957	-0.007190078	-0.007190078	-0.010184588	-0.01249356	-0.010184588	-0.007190078	-0.01249356	-0.01249356	-0.007190078	-0.010184588	-0.010184588	-0.007190078	-0.01249356	-0.007190078	-0.007190078	-0.007190078	-0.007190078
Salisbury	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Exeter	-0.026021909	-0.006410256	-0.011174754	0.192846432	-0.016638958	0.1475805	-0.015959705	-0.014521147	-0.024557188	-0.012089756	-0.011174754	-0.004525489	-0.011174754	-0.012089756	-0.020882334	-0.004525489	-0.004525489	-0.009094668	-0.007863541	-0.01855195	-0.009094668	-0.009094668	-0.007863541	-0.004525489	-0.009094668	-0.004525489	-0.004525489	-0.006410256	-0.007863541	-0.006410256	-0.004525489	-0.007863541	-0.007863541	-0.004525489	-0.006410256	-0.006410256	-0.004525489	-0.007863541	-0.004525489	-0.004525489	-0.004525489	-0.004525489
Warminster	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	0.497598065	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Southampton	-0.031921397	-0.007863541	-0.013708208	-0.019577967	0.143925235	0.112384002	-0.019577967	-0.01781327	-0.030124605	-0.014830653	-0.013708208	-0.005551473	-0.013708208	-0.014830653	-0.025616616	-0.005551473	-0.005551473	-0.011156541	-0.009646302	-0.022757906	-0.011156541	-0.011156541	-0.009646302	-0.005551473	-0.011156541	-0.005551473	-0.005551473	-0.007863541	-0.009646302	-0.007863541	-0.005551473	-0.009646302	-0.009646302	-0.005551473	-0.007863541	-0.007863541	-0.005551473	-0.009646302	-0.005551473	-0.005551473	-0.005551473	-0.005551473
Stamford	-0.036919058	-0.009094668	-0.015854386	-0.022643122	-0.023606825	-0.028828028	-0.022643122	-0.020602141	0.066455901	-0.017152561	-0.015854386	-0.00642062	-0.015854386	-0.017152561	0.086659534	-0.00642062	-0.00642062	-0.012903226	-0.011156541	-0.026320917	-0.012903226	-0.012903226	-0.011156541	-0.00642062	-0.012903226	-0.00642062	-0.00642062	-0.009094668	-0.011156541	-0.009094668	-0.00642062	-0.011156541	-0.011156541	0.497598065	-0.009094668	-0.009094668	-0.00642062	-0.011156541	-0.00642062	-0.00642062	-0.00642062	-0.00642062
Lympne	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	0.243936041	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Dorchester	-0.018370852	-0.004525489	-0.007889112	-0.011267174	0.271981524	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Gloucester	-0.018370852	-0.004525489	-0.007889112	-0.011267174	0.271981524	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Unknown	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	0.216713766	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Rochester	-0.026021909	-0.006410256	-0.011174754	-0.015959705	-0.016638958	-0.020319054	-0.015959705	0.213460855	-0.024557188	-0.012089756	-0.011174754	-0.004525489	-0.011174754	-0.012089756	-0.020882334	-0.004525489	-0.004525489	-0.009094668	-0.007863541	-0.01855195	-0.009094668	-0.009094668	-0.007863541	-0.004525489	-0.009094668	-0.004525489	-0.004525489	-0.006410256	-0.007863541	-0.006410256	-0.004525489	-0.007863541	-0.007863541	-0.004525489	-0.006410256	-0.006410256	-0.004525489	-0.007863541	-0.004525489	-0.004525489	-0.004525489	-0.004525489
Lydford	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Dublin	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	0.575502744	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Dumbarton	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	0.404974394	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Cologne	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	0.575502744	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Chester	-0.018370852	-0.004525489	-0.007889112	-0.011267174	-0.01174671	-0.014344771	-0.011267174	-0.010251586	-0.017336793	-0.008535081	-0.007889112	-0.003194888	-0.007889112	-0.008535081	-0.014742433	-0.003194888	-0.003194888	-0.00642062	-0.005551473	-0.013097237	-0.00642062	-0.00642062	-0.005551473	-0.003194888	-0.00642062	-0.003194888	-0.003194888	-0.004525489	-0.005551473	-0.004525489	-0.003194888	-0.005551473	-0.005551473	-0.003194888	-0.004525489	-0.004525489	-0.003194888	-0.005551473	-0.003194888	-0.003194888	-0.003194888	-0.003194888
Northampton	-0.026021909	-0.006410256	-0.011174754	-0.015959705	-0.016638958	-0.020319054	-0.015959705	-0.014521147	-0.024557188	0.259066198	-0.011174754	-0.004525489	-0.011174754	-0.012089756	0.143043986	-0.004525489	-0.004525489	-0.009094668	-0.007863541	-0.01855195	-0.009094668	-0.009094668	-0.007863541	-0.004525489	-0.009094668	-0.004525489	-0.004525489	-0.006410256	-0.007863541	-0.006410256	-0.004525489	-0.007863541	-0.007863541	-0.004525489	-0.006410256	-0.006410256	-0.004525489	-0.007863541	-0.004525489	-0.004525489	-0.004525489	-0.004525489
Constantinople	-0.036919058	-0.009094668	-0.015854386	-0.022643122	-0.023606825	-0.028828028	-0.022643122	-0.020602141	-0.034840958	-0.017152561	-0.015854386	-0.00642062	-0.015854386	-0.017152561	-0.029627191	-0.00642062	-0.00642062	-0.012903226	-0.011156541	-0.026320917	-0.012903226	-0.012903226	-0.011156541	-0.00642062	0.240322581	-0.00642062	-0.00642062	-0.009094668	-0.011156541	-0.009094668	-0.00642062	-0.011156541	-0.011156541	-0.00642062	-0.009094668	-0.009094668	-0.00642062	-0.011156541	-0.00642062	-0.00642062	-0.00642062	0.497598065
